filepath,disease,signer,label
landmarks/Faint/junali/JUNALI_4.npy,Faint,junali,21
landmarks/RUNNY NOSE/prakash/PRAKASH_16.npy,RUNNY NOSE,prakash,33
landmarks/SORE THROAT/arinjit kataki/ARINJIT_5.npy,SORE THROAT,arinjit kataki,37
landmarks/STOMACH ACHE/chayanika/CHAYANIKA_36.npy,STOMACH ACHE,chayanika,39
landmarks/Hiv/junali/JUNALI_8.npy,Hiv,junali,27
landmarks/Diabetes/rinki/RINKI_3.npy,Diabetes,rinki,17
landmarks/CHICKEN POX/NARESH/NARESH__NARESH__NARESH_9.npy,CHICKEN POX,naresh,9
landmarks/Sore Finger/Rinki/Rinki__Rinki__WIN_20250602_12_38_09_Pro.npy,Sore Finger,rinki,41
landmarks/BLOOD PRESSURE/AKASH/AKASH__AKASH__AKASH_11.npy,BLOOD PRESSURE,akash,2
landmarks/STOMACH ACHE/prakash/PRAKASH_11.npy,STOMACH ACHE,prakash,39
landmarks/CONJUCTIVITIES/AKASH/AKASH__AKASH__AKASH_32.npy,CONJUCTIVITIES,akash,10
landmarks/BLOOD PRESSURE/AKASH/AKASH__AKASH__AKASH_34.npy,BLOOD PRESSURE,akash,2
landmarks/Tooth ache/anindita/Anindita_2.npy,Tooth ache,anindita,45
landmarks/Faint/rupanjali/RUPANJALI_1.npy,Faint,rupanjali,21
landmarks/Vomit/Kalyan/Kalyan__Kalyan__KALYAN_18.npy,Vomit,kalyan,46
landmarks/MUMPSE/NARESH/NARESH__NARESH__NARESH_26.npy,MUMPSE,naresh,31
landmarks/HEAT BURN/harkhapratim gogoi/HARKAPRATIM_11.npy,HEAT BURN,harkhapratim gogoi,25
landmarks/Bleed/rajkumar/RAJKUMAR_31.npy,Bleed,rajkumar,6
landmarks/FLU/harkhapratim gogoi/HARKAPRATIM_21.npy,FLU,harkhapratim gogoi,20
landmarks/HEART ATTACK/AKASH/AKASH__AKASH__AKASH_5.npy,HEART ATTACK,akash,24
landmarks/Tooth ache/Rupanjali/Rupanjali__Rupanjali__WIN_20250602_11_22_43_Pro.npy,Tooth ache,rupanjali,45
landmarks/Allergies/Shubham/Shubham__Shubham__SHUBHAM_10.npy,Allergies,shubham,1
landmarks/Cold/Umiraj/Umiraj__Umiraj__UMIRAJ_22.npy,Cold,umiraj,12
landmarks/Allergies/Biraj/Biraj__Biraj__BIRAJ_19.npy,Allergies,biraj,1
landmarks/Measles/junali/JUNALI_10.npy,Measles,junali,32
landmarks/Sunburn/Kalyan/Kalyan__Kalyan__KALYAN_32.mp4.npy,Sunburn,kalyan,42
landmarks/Cold/Bishal/Bishal__Bishal__BISHAL_1.npy,Cold,bishal,12
landmarks/MUMPSE/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM25.npy,MUMPSE,harkhapratim gogoi,31
landmarks/Cut/Biraj/Biraj__Biraj__BIRAJ_29.npy,Cut,biraj,15
landmarks/HEAD ACHE/arinjit kataki/ARINJIT_11.npy,HEAD ACHE,arinjit kataki,23
landmarks/BLOOD PRESSURE/SURESH/SURESH__SURESH__SURESH_8.npy,BLOOD PRESSURE,suresh,2
landmarks/Faint/rupanjali/RUPANJALI_28.npy,Faint,rupanjali,21
landmarks/CHICKEN POX/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_14.npy,CHICKEN POX,arinjit kataki,9
landmarks/Rash/Biraj/Biraj__Biraj__BIRAJ_16.npy,Rash,biraj,34
landmarks/Sneeze/Rajkumar/Rajkumar__Rajkumar__Rajkumar_2.npy,Sneeze,rajkumar,40
landmarks/Sneeze/Anindita/Anindita__Anindita__Anindita_14.npy,Sneeze,anindita,40
landmarks/Sneeze/Rajkumar/Rajkumar__Rajkumar__Rajkumar_3.npy,Sneeze,rajkumar,40
landmarks/Diabetes/rinki/RINKI_15.npy,Diabetes,rinki,17
landmarks/nausea/anindita/ANINDITA_17.npy,nausea,anindita,47
landmarks/DIARRHOEA/harkhapratim gogoi/HARKHAPRATIM_16.npy,DIARRHOEA,harkhapratim gogoi,16
landmarks/Fever/Junali/Junali__Junali__WIN_20250602_12_08_47_Pro.npy,Fever,junali,22
landmarks/Measles/anindita/ANINDITA_16.npy,Measles,anindita,32
landmarks/Cancer/anindita/ANINDITA_4.npy,Cancer,anindita,11
landmarks/Dizziness/Junali/Junali__Junali__WIN_20250602_11_49_20_Pro.npy,Dizziness,junali,18
landmarks/Cut/Biraj/Biraj__Biraj__BIRAJ_24.npy,Cut,biraj,15
landmarks/JAUNDICE/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_9.npy,JAUNDICE,harkhapratim gogoi,30
landmarks/Cancer/junali/JUNALI_1.npy,Cancer,junali,11
landmarks/Ear Ache/Biraj/Biraj__Biraj__BIRAJ_45.npy,Ear Ache,biraj,19
landmarks/Swell/Rinki/Rinki__Rinki__Rinki_16.npy,Swell,rinki,43
landmarks/HEAT BURN/chayanika/CHAYANIKA_ 6.npy,HEAT BURN,chayanika,25
landmarks/Faint/anindita/ANINDITA_12.npy,Faint,anindita,21
landmarks/JAUNDICE/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__HARKHAPRATIM_6.npy,JAUNDICE,arinjit kataki,30
landmarks/Swell/Rinki/Rinki__Rinki__Rinki_13.npy,Swell,rinki,43
landmarks/DIARRHOEA/Arinjit Kataki/Arinjit_Kataki__Arinjit_Kataki__ARINJIT_19.npy,DIARRHOEA,arinjit kataki,16
landmarks/HEAD ACHE/harkhapratim gogoi/HARKAPRATIM_10.npy,HEAD ACHE,harkhapratim gogoi,23
landmarks/MUMPSE/AKASH/AKASH__AKASH__AKASH_4.npy,MUMPSE,akash,31
landmarks/Hiv/rupanjali/RUPANJALI_16.npy,Hiv,rupanjali,27
landmarks/Back Ache/Rinki/Rinki__Rinki__Rinki_13.npy,Back Ache,rinki,5
landmarks/Cough/Umiraj/Umiraj__Umiraj__UMIRAJ_1.npy,Cough,umiraj,13
landmarks/Dizziness/Junali/Junali__Junali__Junali_9.npy,Dizziness,junali,18
landmarks/Vomit/Kalyan/Kalyan__Kalyan__KALYAN_35.npy,Vomit,kalyan,46
landmarks/Bleed/junali/JUNALI_9.npy,Bleed,junali,6
landmarks/Swell/Junali/Junali__Junali__WIN_20250602_11_58_42_Pro.npy,Swell,junali,43
landmarks/DIARRHOEA/harkhapratim gogoi/HARKHAPRATIM_7.npy,DIARRHOEA,harkhapratim gogoi,16
landmarks/DIARRHOEA/Naresh/Naresh__Naresh__NARESH_29.npy,DIARRHOEA,naresh,16
landmarks/Faint/rupanjali/RUPANJALI_33.npy,Faint,rupanjali,21
landmarks/Cold/Shubham/Shubham__Shubham__SHUBHAM_25.npy,Cold,shubham,12
landmarks/RUNNY NOSE/prakash/PRAKASH_44.npy,RUNNY NOSE,prakash,33
landmarks/CHICKEN POX/SURESH/SURESH__SURESH__SURESH_9.npy,CHICKEN POX,suresh,9
landmarks/Fever/Junali/Junali__Junali__WIN_20250602_12_07_03_Pro.npy,Fever,junali,22
landmarks/Bone Fracture/anindita/ANINDITA_28.npy,Bone Fracture,anindita,7
landmarks/Fever/Junali/Junali__Junali__Junali_29.npy,Fever,junali,22
landmarks/Injury/Bishal/Bishal__Bishal__BISHAL_15.npy,Injury,bishal,28
landmarks/Cold/Shubham/Shubham__Shubham__SHUBHAM_8.npy,Cold,shubham,12
landmarks/Ear Ache/Shubham/Shubham__Shubham__SHUBHAM_5.npy,Ear Ache,shubham,19
landmarks/Faint/junali/JUNALI_24.npy,Faint,junali,21
landmarks/RUNNY NOSE/harkhapratim gogoi/HARKAPRATIM_29.npy,RUNNY NOSE,harkhapratim gogoi,33
landmarks/Vomit/Kalyan/Kalyan__Kalyan__KALYAN_52.npy,Vomit,kalyan,46
landmarks/Tooth ache/anindita/Anindita_5.npy,Tooth ache,anindita,45
landmarks/Back Ache/Rinki/Rinki__Rinki__WIN_20250602_12_31_40_Pro.npy,Back Ache,rinki,5
landmarks/Hiv/rajkumar/RAJKUMAR_31.npy,Hiv,rajkumar,27
landmarks/Hiv/rajkumar/RAJKUMAR_39.npy,Hiv,rajkumar,27
landmarks/Retching/rinki/RINKI_13.npy,Retching,rinki,35
landmarks/Bleed/anindita/ANINDITA_27.npy,Bleed,anindita,6
landmarks/HEART ATTACK/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_3.npy,HEART ATTACK,arinjit kataki,24
landmarks/Bone Fracture/rinki/RINKI_14.npy,Bone Fracture,rinki,7
landmarks/Cough/Kalyan/Kalyan__Kalyan__KALYAN_4.npy,Cough,kalyan,13
landmarks/HEART ATTACK/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_3.npy,HEART ATTACK,harkhapratim gogoi,24
landmarks/Rash/Kalyan/Kalyan__Kalyan__KALYAN_25.npy,Rash,kalyan,34
landmarks/Injury/Bishal/Bishal__Bishal__BISHAL_30.npy,Injury,bishal,28
landmarks/CHICKEN POX/NARESH/NARESH__NARESH__NARESH_21.npy,CHICKEN POX,naresh,9
landmarks/Sunburn/Biraj/Biraj__Biraj__BIRAJ_19.npy,Sunburn,biraj,42
landmarks/Cut/Bishal/Bishal__Bishal__BISHAL_26.npy,Cut,bishal,15
landmarks/BROKEN BONES/harkhapratim gogoi/HARKAPRATIM_11.npy,BROKEN BONES,harkhapratim gogoi,3
landmarks/Cancer/rajkumar/RAJKUMAR_7.npy,Cancer,rajkumar,11
landmarks/Faint/rinki/RINKI_4.npy,Faint,rinki,21
landmarks/Rash/Bishal/Bishal__Bishal__BISHAL_15.npy,Rash,bishal,34
landmarks/STD/NARESH/NARESH__NARESH__NARESH_23.npy,STD,naresh,38
landmarks/Swell/Rinki/Rinki__Rinki__WIN_20250602_12_42_17_Pro.npy,Swell,rinki,43
landmarks/MUMPSE/NARESH/NARESH__NARESH__NARESH_2.npy,MUMPSE,naresh,31
landmarks/TB/harkhapratim gogoi/HARKHAPRATIM_9.npy,TB,harkhapratim gogoi,44
landmarks/CHICKEN POX/NARESH/NARESH__NARESH__NARESH_4.npy,CHICKEN POX,naresh,9
landmarks/BROKEN BONES/prakash/PRAKASH_46.npy,BROKEN BONES,prakash,3
landmarks/Ear Ache/Biraj/Biraj__Biraj__BIRAJ_27.npy,Ear Ache,biraj,19
landmarks/BROKEN BONES/prakash/PRAKASH_26.npy,BROKEN BONES,prakash,3
landmarks/Sneeze/Anindita/Anindita__Anindita__WIN_20250602_12_22_12_Pro.npy,Sneeze,anindita,40
landmarks/Cold/Kalyan/Kalyan__Kalyan__KALYAN_29.npy,Cold,kalyan,12
landmarks/Cancer/rajkumar/RAJKUMAR_2.npy,Cancer,rajkumar,11
landmarks/Diabetes/rinki/RINKI_21.npy,Diabetes,rinki,17
landmarks/RUNNY NOSE/harkhapratim gogoi/HARKAPRATIM_3.npy,RUNNY NOSE,harkhapratim gogoi,33
landmarks/DIARRHOEA/Naresh/Naresh__Naresh__NARESH_18.npy,DIARRHOEA,naresh,16
landmarks/Allergies/Bishal/Bishal__Bishal__BISHAL_16.npy,Allergies,bishal,1
landmarks/Faint/rajkumar/RAJKUMAR_16.npy,Faint,rajkumar,21
landmarks/Tooth ache/Rinki/Rinki__Rinki__WIN_20250602_12_31_15_Pro.npy,Tooth ache,rinki,45
landmarks/JAUNDICE/AKASH/AKASH__AKASH__AKASH_9.npy,JAUNDICE,akash,30
landmarks/STOMACH ACHE/harkhapratim gogoi/HARKAPRATIM_9.npy,STOMACH ACHE,harkhapratim gogoi,39
landmarks/Measles/rupanjali/RUPANJALI_8.npy,Measles,rupanjali,32
landmarks/Bleed/rupanjali/RUPANJALI_17.npy,Bleed,rupanjali,6
landmarks/SHOULDER PAIN/arinjit kataki/ARINJIT_23.npy,SHOULDER PAIN,arinjit kataki,36
landmarks/Cancer/rinki/RINKI_5.npy,Cancer,rinki,11
landmarks/Allergies/Bishal/Bishal__Bishal__BISHAL_5.npy,Allergies,bishal,1
landmarks/Faint/rupanjali/RUPANJALI_8.npy,Faint,rupanjali,21
landmarks/JAUNDICE/AKASH/AKASH__AKASH__AKASH_12.npy,JAUNDICE,akash,30
landmarks/STOMACH ACHE/arinjit kataki/ARINJIT_36.npy,STOMACH ACHE,arinjit kataki,39
landmarks/DIARRHOEA/Arinjit Kataki/Arinjit_Kataki__Arinjit_Kataki__ARINJIT_36.npy,DIARRHOEA,arinjit kataki,16
landmarks/nausea/rinki/RINKI_6.npy,nausea,rinki,47
landmarks/CHICKEN POX/AKASH/AKASH__AKASH__AKASH_19.npy,CHICKEN POX,akash,9
landmarks/CONJUCTIVITIES/AKASH/AKASH__AKASH__AKASH_9.npy,CONJUCTIVITIES,akash,10
landmarks/Cancer/rajkumar/RAJKUMAR_1.npy,Cancer,rajkumar,11
landmarks/SORE THROAT/harkhapratim gogoi/HARKAPRATIM_25.npy,SORE THROAT,harkhapratim gogoi,37
landmarks/Itch/junali/JUNALI_7.npy,Itch,junali,29
landmarks/STD/AKASH/AKASH__AKASH__AKASH_26.npy,STD,akash,38
landmarks/Cancer/rajkumar/RAJKUMAR_26.npy,Cancer,rajkumar,11
landmarks/Tooth ache/Junali/Junali__Junali__WIN_20250602_11_46_14_Pro.npy,Tooth ache,junali,45
landmarks/HEAD ACHE/arinjit kataki/ARINJIT_33.npy,HEAD ACHE,arinjit kataki,23
landmarks/Sneeze/Anindita/Anindita__Anindita__WIN_20250602_12_21_26_Pro.npy,Sneeze,anindita,40
landmarks/STOMACH ACHE/chayanika/CHAYANIKA_43.npy,STOMACH ACHE,chayanika,39
landmarks/Bleed/rupanjali/RUPANJALI_1.npy,Bleed,rupanjali,6
landmarks/CHICKEN POX/AKASH/AKASH__AKASH__AKASH_1.npy,CHICKEN POX,akash,9
landmarks/Sore Finger/Junali/Junali__Junali__Junali_11.npy,Sore Finger,junali,41
landmarks/Bleed/anindita/ANINDITA_29.npy,Bleed,anindita,6
landmarks/nausea/rupanjali/RUPANJALI_31.npy,nausea,rupanjali,47
landmarks/Sneeze/Rinki/Rinki__Rinki__Rinki_21.npy,Sneeze,rinki,40
landmarks/Allergies/Kalyan/Kalyan__Kalyan__KALYAN_36.npy,Allergies,kalyan,1
landmarks/Tooth ache/Rinki/Rinki__Rinki__Rinki_8.npy,Tooth ache,rinki,45
landmarks/Retching/rajkumar/RAJKUMAR_30.npy,Retching,rajkumar,35
landmarks/Vomit/Umiraj/Umiraj__Umiraj__UMIRAJ_19.npy,Vomit,umiraj,46
landmarks/ASTHMA/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_1.npy,ASTHMA,harkhapratim gogoi,0
landmarks/Hiv/rajkumar/RAJKUMAR_43.npy,Hiv,rajkumar,27
landmarks/Sore Finger/Rajkumar/Rajkumar__Rajkumar__WIN_20250602_11_11_48_Pro.npy,Sore Finger,rajkumar,41
landmarks/BROKEN BONES/pranati/PRANATI_10.npy,BROKEN BONES,pranati,3
landmarks/Bone Fracture/rupanjali/RUPANJALI_24.npy,Bone Fracture,rupanjali,7
landmarks/Sore Finger/Junali/Junali__Junali__WIN_20250602_11_49_55_Pro.npy,Sore Finger,junali,41
landmarks/Fever/Junali/Junali__Junali__WIN_20250602_12_06_44_Pro.npy,Fever,junali,22
landmarks/Cut/Biraj/Biraj__Biraj__BIRAJ_7.npy,Cut,biraj,15
landmarks/RUNNY NOSE/prakash/PRAKASH_40.npy,RUNNY NOSE,prakash,33
landmarks/Tooth ache/anindita/WIN_20250602_12_11_25_Pro.npy,Tooth ache,anindita,45
landmarks/BROKEN BONES/chayanika/CHAYANIKA_12.npy,BROKEN BONES,chayanika,3
landmarks/STD/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_11.npy,STD,harkhapratim gogoi,38
landmarks/Vomit/Kalyan/Kalyan__Kalyan__KALYAN_54.npy,Vomit,kalyan,46
landmarks/nausea/rupanjali/RUPANJALI_41.npy,nausea,rupanjali,47
landmarks/Broken Arm/Bishal/Bishal__Bishal__BISHAL_20.npy,Broken Arm,bishal,8
landmarks/CONJUCTIVITIES/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_5.npy,CONJUCTIVITIES,harkhapratim gogoi,10
landmarks/DIARRHOEA/Akash/Akash__Akash__AKASH_17.npy,DIARRHOEA,akash,16
landmarks/BROKEN BONES/chayanika/CHAYANIKA_6.npy,BROKEN BONES,chayanika,3
landmarks/Injury/Shubham/Shubham__Shubham__SHUBHAM_4.npy,Injury,shubham,28
landmarks/Rash/Biraj/Biraj__Biraj__BIRAJ_19.npy,Rash,biraj,34
landmarks/Rash/Biraj/Biraj__Biraj__BIRAJ_30.npy,Rash,biraj,34
landmarks/Allergies/Kalyan/Kalyan__Kalyan__KALYAN_1.npy,Allergies,kalyan,1
landmarks/Cancer/anindita/ANINDITA_14.npy,Cancer,anindita,11
landmarks/Cough/Shubham/Shubham__Shubham__SHUBHAM_17.npy,Cough,shubham,13
landmarks/BROKEN BONES/prakash/PRAKASH_31.npy,BROKEN BONES,prakash,3
landmarks/Dizziness/Rinki/Rinki__Rinki__WIN_20250602_12_34_39_Pro.npy,Dizziness,rinki,18
landmarks/Ear Ache/Bishal/Bishal__Bishal__BISHAL_25.npy,Ear Ache,bishal,19
landmarks/STD/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_19.npy,STD,harkhapratim gogoi,38
landmarks/Back Ache/Rinki/Rinki__Rinki__WIN_20250602_12_32_09_Pro.npy,Back Ache,rinki,5
landmarks/RUNNY NOSE/prakash/PRAKASH_10.npy,RUNNY NOSE,prakash,33
landmarks/Bleed/rupanjali/RUPANJALI_32.npy,Bleed,rupanjali,6
landmarks/Retching/rajkumar/RAJKUMAR_19.npy,Retching,rajkumar,35
landmarks/Sore Finger/Rajkumar/Rajkumar__Rajkumar__Rajkumar_1.npy,Sore Finger,rajkumar,41
landmarks/Sore Finger/Anindita/Anindita__Anindita__Anindita_16.npy,Sore Finger,anindita,41
landmarks/JAUNDICE/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_26.npy,JAUNDICE,harkhapratim gogoi,30
landmarks/HEPATITIS/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_12.npy,HEPATITIS,harkhapratim gogoi,26
landmarks/nausea/rinki/RINKI_24.npy,nausea,rinki,47
landmarks/SHOULDER PAIN/chayanika/CHAYANIKA_5.npy,SHOULDER PAIN,chayanika,36
landmarks/STD/NARESH/NARESH__NARESH__NARESH_19.npy,STD,naresh,38
landmarks/STD/NARESH/NARESH__NARESH__NARESH_13.npy,STD,naresh,38
landmarks/STOMACH ACHE/chayanika/CHAYANIKA_12.npy,STOMACH ACHE,chayanika,39
landmarks/HEPATITIS/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_4.npy,HEPATITIS,harkhapratim gogoi,26
landmarks/HEAT BURN/prakash/PRAKASH_13.npy,HEAT BURN,prakash,25
landmarks/Sunburn/Biraj/Biraj__Biraj__BIRAJ_23.npy,Sunburn,biraj,42
landmarks/HEAD ACHE/pranati/PRANATI_5.npy,HEAD ACHE,pranati,23
landmarks/Rash/Biraj/Biraj__Biraj__BIRAJ_4.npy,Rash,biraj,34
landmarks/Itch/rupanjali/RUPANJALI_11.npy,Itch,rupanjali,29
landmarks/BROKEN BONES/prakash/PRAKASH_18.npy,BROKEN BONES,prakash,3
landmarks/HEART ATTACK/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_16.npy,HEART ATTACK,arinjit kataki,24
landmarks/Sunburn/Umiraj/Umiraj__Umiraj__UMIRAJ_6.mp4.npy,Sunburn,umiraj,42
landmarks/Fever/Rinki/Rinki__Rinki__Rinki_25.npy,Fever,rinki,22
landmarks/Cut/Kalyan/Kalyan__Kalyan__KALYAN_8.npy,Cut,kalyan,15
landmarks/Cough/Bishal/Bishal__Bishal__BISHAL_31.npy,Cough,bishal,13
landmarks/Faint/rupanjali/RUPANJALI_38.npy,Faint,rupanjali,21
landmarks/Ear Ache/Shubham/Shubham__Shubham__SHUBHAM_7.npy,Ear Ache,shubham,19
landmarks/Tooth ache/anindita/Anindita_9.npy,Tooth ache,anindita,45
landmarks/DIARRHOEA/Naresh/Naresh__Naresh__NARESH_23.npy,DIARRHOEA,naresh,16
landmarks/FLU/prakash/PRAKASH_20.npy,FLU,prakash,20
landmarks/Back Ache/Rinki/Rinki__Rinki__Rinki_6.npy,Back Ache,rinki,5
landmarks/Vomit/Kalyan/Kalyan__Kalyan__KALYAN_46.npy,Vomit,kalyan,46
landmarks/SHOULDER PAIN/arinjit kataki/ARINJIT_8.npy,SHOULDER PAIN,arinjit kataki,36
landmarks/Tooth ache/Rinki/Rinki__Rinki__WIN_20250602_12_30_37_Pro.npy,Tooth ache,rinki,45
landmarks/JAUNDICE/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_50.npy,JAUNDICE,arinjit kataki,30
landmarks/Retching/junali/JUNALI_14.npy,Retching,junali,35
landmarks/Cough/Kalyan/Kalyan__Kalyan__KALYAN_13.npy,Cough,kalyan,13
landmarks/Tooth ache/Junali/Junali__Junali__Junali_7.npy,Tooth ache,junali,45
landmarks/STOMACH ACHE/harkhapratim gogoi/HARKAPRATIM_12.npy,STOMACH ACHE,harkhapratim gogoi,39
landmarks/Swell/Junali/Junali__Junali__WIN_20250602_11_58_53_Pro.npy,Swell,junali,43
landmarks/BRUISE/prakash/PRAKASH_14.npy,BRUISE,prakash,4
landmarks/HEPATITIS/AKASH/AKASH__AKASH__AKASH_14.npy,HEPATITIS,akash,26
landmarks/Sore Finger/Rinki/Rinki__Rinki__Rinki_25.npy,Sore Finger,rinki,41
landmarks/Cold/Biraj/Biraj__Biraj__BIRAJ_6.npy,Cold,biraj,12
landmarks/Vomit/Kalyan/Kalyan__Kalyan__KALYAN_57.npy,Vomit,kalyan,46
landmarks/Sore Finger/Anindita/Anindita__Anindita__WIN_20250602_12_19_08_Pro.npy,Sore Finger,anindita,41
landmarks/CONJUCTIVITIES/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_9.npy,CONJUCTIVITIES,arinjit kataki,10
landmarks/BLOOD PRESSURE/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_15.npy,BLOOD PRESSURE,arinjit kataki,2
landmarks/Broken Arm/Bishal/Bishal__Bishal__BISHAL_10.npy,Broken Arm,bishal,8
landmarks/ASTHMA/AKASH/AKASH__AKASH__AKASH_8.npy,ASTHMA,akash,0
landmarks/SORE THROAT/arinjit kataki/ARINJIT_7.npy,SORE THROAT,arinjit kataki,37
